ITEM_SEQ,ITEM_NAME,ENTP_NAME,CHART,PRINT_FRONT,PRINT_BACK,DRUG_SHAPE,COLOR_CLASS1,COLOR_CLASS2,LINE_FRONT,LINE_BACK,LENG_LONG,LENG_SHORT,THICK,CLASS_NAME,ETC_OTC_NAME,ITEM_PERMIT_DATE,FORM_CODE_NAME,MARK_CODE_FRONT_ANAL,MARK_CODE_BACK_ANAL,ITEM_IMAGE,MARK_CODE_FRONT_IMG,MARK_CODE_BACK_IMG,ITEM_ENG_NAME,EDI_CODE,last_updated
200809910,발사르텔정160밀리그램(발사르탄),주식회사제뉴원사이언스,회색빛을 띠는 오렌지색의 타원형 필름코팅정,V분할선16,KK,타원형,주황,,-,,14,5.5,4,혈압강하제,전문의약품,20080929,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXa2J_Kd2y,,,Valsartel Tab. 160mg,671702810,2024-12-11 2:55
200810125,에스시탈정5밀리그램(에스시탈로프람옥살산염),(주)종근당,흰색의 원형 필름코팅정,CKD,ES5,원형,하양,,,,6.13,6.13,2.63,정신신경용제,전문의약품,20081002,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700016,,,Escital Tab. 5mg,643305000,2024-12-11 2:55
200810314,발산정80밀리그램(발사르탄),유니메드제약(주),엷은 적색의 원형 필름코팅정,V분할선A,UM,원형,분홍,,-,,8,8,2,혈압강하제,전문의약품,20081010,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298763309300033,,,Valsan Tab. 80mg,649505260,2024-12-11 2:55
200810338,가스리드정5mg(모사프리드시트르산염수화물),(주)유한양행,분할선을 가진 흰색의 장방형 필름코팅정,YH,G분할선5,장방형,하양,,,-,9.1,4.6,3.1,기타의 소화기관용약,전문의약품,20081010,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700025,,,Gasrid Tablet 5mg,642103680,2024-12-11 2:55
200810473,엑스반정80밀리그램(발사르탄),삼진제약(주),분홍색의 원형 필름코팅정,SJ,V분할선8,원형,분홍,,,-,8.14,8.14,3.57,혈압강하제,전문의약품,20081017,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148665498867700136,,,Exvan Tab. 80mg,647802940,2024-12-11 2:55
200810509,뉴멘타민서방캡슐8밀리그램(갈란타민브롬화수소산염),고려제약(주),흰색 내지 거의 흰색의 서방코팅된 펠렛이 들어있는 불투명한 상·하 흰색의 경질캡슐제,KDC NTC     8,,장방형,하양,하양,,,14,4,4,기타의 중추신경용약,전문의약품,20081020,스팬슐,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344700079,,,Newmentamine EX Cap. 8mg,642802140,2024-12-11 2:55
200810522,발트렙정160밀리그램(발사르탄),경동제약(주),회색빛을 띠는 오렌지색의 타원형 필름코팅정,KD분할선VT,160,타원형,주황,,-,,15.00,6.35,4.35,혈압강하제,전문의약품,20081020,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700046,,,valtrep tab. 160mg,648102940,2024-12-11 2:55
200810789,수로신디정(탐스로신염산염),(주)에스트라,흰색의 원형 정제,PAC,,원형,하양,,,,9.0,9.0,3.5,기타의 비뇨생식기관 및 항문용약,전문의약품,20081103,,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700049,,,,,2024-12-11 2:55
200810870,로수로드정10밀리그램(로수바스타틴칼슘),(주)종근당,분홍색의 원형 필름코팅정제,CKDRSD10,,원형,분홍,,,,7,7,3,동맥경화용제,전문의약품,20081107,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706768099900035,,,Rosulord Tab. 10mg,643305080,2024-12-11 2:55
200811104,디오살탄정160밀리그램(발사르탄),(주)유한양행,회색빛을 띠는 오렌지색의 타원형 필름코팅정,Y분할선H,160,타원형,노랑,,-,,14.4,5.6,5.0,혈압강하제,전문의약품,20081120,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298782012500025,,,Diosartan Tablet 160mg,642104020,2024-12-11 2:55
200811105,디오살탄정80밀리그램(발사르탄),(주)유한양행,엷은 적색의 원형필름코팅정,Y분할선H,80,원형,분홍,,-,,8.1,8.1,3.4,혈압강하제,전문의약품,20081120,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298782012500031,,,Diosartan Tablet 80mg,642104030,2024-12-11 2:55
200811403,칸데사르정8밀리그램(칸데사르탄실렉세틸),(주)한독,양면이 볼록한 원형의 밝은 분홍색 정제,마크분할선C8,,원형,분홍,,-,,7.0,7.0,3.2,혈압강하제,전문의약품,20081204,나정,"P,d",,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344800062,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900187,,CANDESAR TAB.8mg,,2024-12-11 2:55
200811404,칸데사르정16밀리그램(칸데사르탄실렉세틸),(주)에스트라,양면이 볼록한 원형의 분홍색 정제,마크분할선C16,,원형,분홍,,-,,7.0,7.0,3.2,혈압강하제,전문의약품,20081204,나정,"P,d",,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344800068,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900187,,,,2024-12-11 2:55
200811619,디로탄정160mg(발사르탄),이연제약(주),회색빛을 띠는 오렌지색의 타원형 필름코팅정,R분할선Y,160,타원형,주황,,-,,14,5,3,혈압강하제,전문의약품,20081216,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700097,,,Dirotan Tab. 160mg,658602540,2024-12-11 2:55
200811883,인케어정(옥수수불검화정량추출물),(주)한국비엠아이,주황색의 원형 필름코팅정,BMI,,원형,주황,,,,15,15,3,치과구강용약,일반의약품,20081226,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700117,,,,,2024-12-11 2:55
200811971,제이코정,제이에스제약(주),흰색의 장방형 필름코팅정제,COΛ,분할선,장방형,하양,,,-,15,7.45,5.7,해열.진통.소염제,일반의약품,20081230,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834126208100152,,,,,2024-12-11 2:55
200900018,깅코탄연질캡슐120밀리그램(은행엽건조엑스),한국프라임제약(주),암갈색의 유상내용물이 든 녹색의 타원형 연질캡슐,깅코탄,,타원형,초록,,,,14.7,8.5,8.5,기타의 순환계용약,일반의약품,20090102,"연질캡슐제, 현탁상",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mky9VD2vUV,,,Gingcotan Soft Cap. 120mg,,2024-12-11 2:55
200900026,리버풀350연질캡슐(밀크시슬열매건조엑스),신일제약(주),황갈색의 유상 내용물을 함유한 암적색의 장방형 연질캡슐,SI LIV,,타원형,갈색,,,,19.9,9,9,간장질환용제,일반의약품,20090102,"연질캡슐제, 현탁상",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031286653200142,,,Liverful 350 Soft Cap.,,2024-12-11 2:55
200900193,모니맥정(모니플루메이트),맥널티제약(주),크림색의 장방형 정제,MNM,,장방형,하양,,,,14.2,7.2,5,해열.진통.소염제,전문의약품,20090106,나정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700170,,,Monimac Tab.,641501190,2024-12-11 2:55
200900194,모니필정350밀리그램(모니플루메이트),(주)테라젠이텍스,크림색의 장방형 정제,ETM,,장방형,하양,,,,14.2,7.2,5.3,해열.진통.소염제,전문의약품,20090106,나정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6BNX,,,Mornifil Tab.,698500780,2024-12-11 2:55
200900195,모니메르정(모니플루메이트),알리코제약(주),크림색의 타원형 정제,ALC,MFT,장방형,하양,,,,14.2,7.2,5.2,해열.진통.소염제,전문의약품,20090106,나정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152648520364900007,,,Monimer Tab.,656002990,2024-12-11 2:55
200900196,모니트정350밀리그램(모니플루메이트),(주)하원제약,크림색의 타원형 정제,hw19,350,장방형,하양,,,,14.2,7.2,5.2,해열.진통.소염제,전문의약품,20090106,나정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O1A3H02Ph8,,,Monit Tab. 350mg,651502670,2024-12-11 2:55
200900242,키비칼츄어블정,(유)한풍제약,분홍색의 씹어먹는 원형정제,HF,,원형,분홍,,,,14.07,14.07,6.37,혼합비타민제(비타민AD 혼합제제를 제외),일반의약품,20090106,추어블정(저작정),,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700190,,,,,2024-12-11 2:55
200900378,칸데사르플러스정16/12.5밀리그램,(주)한독,엷은 주황색의 장방형 정제,마크분할선CS,,장방형,주황,,-,,9.6,4.5,3.3,혈압강하제,전문의약품,20090109,나정,"P,d",,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344800074,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900187,,,,2024-12-11 2:55
200900605,코프나캡슐,(주)휴온스생명과학,"흰색분말이 든 상부 진한녹색, 하부 흰색의 경질캡슐",BTO CNA,,장방형,초록,하양,,,20,7,6,진해거담제,일반의약품,20090113,"경질캡슐제, 산제",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800014,,,,,2024-12-11 2:55
200900682,굿스펜연질캡슐(덱시부프로펜),광동제약(주),[내수용] 무색 내지 미색의 투명한 액상 내용물을 함유한 투명한 장방형 연질캡슐[수출용] 미황색의 투명한 유상내용물이 든 주황색의 투명한 타원형 연질캡슐,KD GP,,장방형,투명,,,,20.0,8.8,8.8,해열.진통.소염제,일반의약품,20090116,"연질캡슐제, 액상",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Oikd3yeYje,,,,,2024-12-11 2:55
200900823,가스파플러스정,(주)일화,녹색 내지 연녹색의 원형 필름코팅정제,IHP,G+,원형,연두,,,,9.6,9.6,5.2,소화성궤양용제,일반의약품,20090128,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800050,,,,,2024-12-11 2:55
200900833,마이칼디정,명문제약(주),황갈색의 장방형 필름코팅정제,MM분할선D,,장방형,주황,,-,,20.60,8.95,7.23,칼슘제,일반의약품,20090128,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800053,,,Mycal D Tab,649804350,2024-12-11 2:55
200900844,모빅캡슐7.5밀리그램(멜록시캄),한국베링거인겔하임(주),"노란색 가루가 든 상,하 밝은 초록색 캡슐",Mobic 7.5mg,,장방형,초록,초록,,,17.4,5.9,6.1,해열.진통.소염제,전문의약품,20090128,"경질캡슐제, 산제",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Opnl07NLZB,,,Mobic  capsules  7.5 mg,653500890,2024-12-11 2:55
200900845,모빅캡슐15밀리그램(멜록시캄),한국베링거인겔하임(주),"노란색 가루가 든 상부 밝은 초록색, 하부 노란색 캡슐",Mobic 15mg,,장방형,초록,노랑,,,17.7,6.4,6.4,해열.진통.소염제,전문의약품,20090128,"경질캡슐제, 산제",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Oa2BrqwGD-,,,Mobic  capsules  15 mg,653500900,2024-12-11 2:55
200901014,코큐렉스연질캡슐,(주)알피바이오,황갈색의 내용물을 함유한 암갈색의 장방형 연질캡슐제,RPCQR,,장방형,검정,,,,24.6,8.3,8.3,기타의 비타민제,일반의약품,20090202,"연질캡슐제, 현탁상",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800062,,,,,2024-12-11 2:55
200901073,발크로버정500밀리그램(발라시클로비르염산염수화물),환인제약(주),흰색의 양면이 볼록한 장방형의 필름코팅정제,VAL,W분할선I,장방형,하양,,,-,18.35,7.35,6.1,기타의 화학요법제,전문의약품,20090204,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333342488200040,,,Valclovior Tab. 500mg,657202140,2024-12-11 2:55
200901148,엔에이피정(나프록센나트륨),한솔신약(주),연한 파란색의 타원형 필름코팅정,T21,,타원형,파랑,,,,15,8,4.75,해열.진통.소염제,일반의약품,20090209,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800080,,,NAP Tap.,,2024-12-11 2:55
200901177,메디헤모연질캡슐,동화약품(주),갈색의 유상 내용물을 함유한 암갈색의 장방형 연질캡슐,D-W MH,,장방형,갈색,,,,24.61,8.43,8.43,무기질제제,일반의약품,20090209,"연질캡슐제, 현탁상",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661645880000003,,,,,2024-12-11 2:55
200901187,이지에스정(방기황기탕건조엑스),주식회사 제이비케이랩,분홍색의 원형 필름코팅정,INS,,원형,자주,,,,10.3,10.3,5.2,해열.진통.소염제,일반의약품,20090210,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333330132500115,,,,,2024-12-11 2:55
200901205,제일아노민정,제일약품(주),진한갈 색의 장방형 필름코팅정,JI ΛN,,장방형,빨강,,,,16,8,5,기타의 자양강장변질제,일반의약품,20090212,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834126208100146,,,,,2024-12-11 2:55
200902918,오렉스캡슐,(주)휴온스생명과학,분홍색분말이 들어있는 상하부 적색의 경질캡슐제,BTO ORX,,장방형,빨강,빨강,,,21.4,7.0,7.3,기타의 중추신경용약,일반의약품,20090422,"경질캡슐제, 산제",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400062,,,,,2024-12-11 2:55
200902983,선콜정,한솔신약(주),연분홍색의 장방형 필름코팅정,T37,,장방형,분홍,,,,15,8,2.5,해열.진통.소염제,일반의약품,20090424,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400068,,,,,2024-12-11 2:55
200903022,베리콜노즈정,삼천당제약(주),장방형의 분홍색 필름코팅정,분할선,SCD,장방형,분홍,,-,,18.5,7.7,5.3,해열.진통.소염제,일반의약품,20090428,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400071,,,,,2024-12-11 2:55
200903023,마그놀정,(주)제뉴파마,흰색의 타원형 필름코팅정제,BPMA,,타원형,하양,,,,16.2,8.7,5.35,"하제, 완장제",일반의약품,20090428,"정제, 미분류",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400074,,,,,2024-12-11 2:55
200903040,덴티콤캡슐,천우신약(주),"짙은 청록색 가루가 든 상부 담청색, 하부 담청색의 경질캡슐제",SNP DTC,,장방형,파랑,파랑,,,18.90,6.27,6.70,치과구강용약,일반의약품,20090428,"캡슐, 미분류",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400077,,,,,2024-12-11 2:55
200903043,리버파워포르테연질캡슐,아이큐어(주),황갈색의 내용물을 함유한 황녹색의 장방형 연질캡슐,SC200,,장방형,초록,,,,23,8,8,간장질환용제,일반의약품,20090428,"연질캡슐제, 현탁상",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400080,,,Liver Power Forte Soft Cap.,,2024-12-11 2:55
200903044,본렉스이알캡슐15밀리그램(시클로벤자프린염산염),(주)새한제약,흰색 내지 미백색의 구형 입자가 들어있는 상·하부 밝은 주황색의 불투명 서방성 경질캡슐,Bonelax ER 15mg,,장방형,주황,주황,,,14.20,5.05,5.32,골격근이완제,전문의약품,20090428,"서방성캡슐제, 펠렛",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Me1jz_9pfx,,,Bonelax ER cab. 15mg (Cyclobenzaprine HCl),651300630,2024-12-11 2:55
200903045,본렉스이알캡슐30밀리그램(시클로벤자프린염산염),(주)새한제약,"흰색 내지 미백색의 구형 입자가 들어있는 상부 빨강색, 하부 진한 파랑색의 불투명 서방성 경질캡슐",Bonelax ER 30mg,,장방형,빨강,파랑,,,14.20,5.05,5.32,골격근이완제,전문의약품,20090428,"서방성캡슐제, 펠렛",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mdm43vUUC-,,,,,2024-12-11 2:55
200903055,오메코프정,(주)에이프로젠바이오로직스,흰색의 원형필름코팅정,SCP,OC,원형,하양,,,,11.61,11.61,5.94,해열.진통.소염제,일반의약품,20090428,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400089,,,,,2024-12-11 2:55
200903065,산도스올란자핀정10밀리그램,삼일제약(주),흰색의 원형 필름코팅 정제,SZ,10,원형,하양,,,,10.5,10.5,5.4,정신신경용제,전문의약품,20090428,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF873,,,Sandoz Olanzapine FCT 10mg,"643904000,668100690",2024-12-11 2:55
200903066,올란프레서정10mg(올란자핀),한국노바티스(주),흰색의 원형 필름코팅 정제,SZ,10,원형,하양,,,,10.5,10.5,5.4,정신신경용제,전문의약품,20090428,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400099,,,,,2024-12-11 2:55
200903067,산도스올란자핀정5밀리그램,삼일제약(주),흰색의 원형 필름코팅정제,SZ,5,원형,하양,,,,8,8,4,정신신경용제,전문의약품,20090428,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF86T,,,Sandoz Olanzapine FCT 5mg,668100710,2024-12-11 2:55
200903068,올란프레서정5mg (올란자핀),한국노바티스(주),흰색의 원형 필름코팅정제,SZ,5,원형,하양,,,,8,8,4,정신신경용제,전문의약품,20090428,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400107,,,,,2024-12-11 2:55
200903078,산도스올란자핀정2.5밀리그램,삼일제약(주),흰색의 원형 필름코팅정제,SZ,2.5,원형,하양,,,,7,7,1,정신신경용제,전문의약품,20090430,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF85t,,,Sandoz Olanzapine FCT 2.5mg,"643904020,668100720",2024-12-11 2:55
200903080,올란프레서정2.5mg (올란자핀),한국노바티스(주),흰색의 원형 필름코팅정제,SZ,2.5,원형,하양,,,,7,7,3.25,정신신경용제,전문의약품,20090430,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400122,,,,,2024-12-11 2:55
200903183,센트룸실버정,한국화이자제약(주),"이 약은 회색의 타원형 필름코팅정으로 한쪽 면에는 왼쪽에 “W"", 오른쪽에 ”2“가, 다른쪽 면에는 ”SELECT""가 각각 새겨져 있다.",SELECT,W분할선2,타원형,회색,,,-,19.2,8.6,7.1,혼합비타민제(비타민AD 혼합제제를 제외),일반의약품,20090508,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MwITgp4WIn,,,,,2024-12-11 2:55
200903210,헤파피스연질캡슐,(주)에이프로젠바이오로직스,황갈색의 유상내용물을 함유한 황녹색의 장방형 연질캡슐,CGP HP,,장방형,연두,,,,23.1,8.7,8.7,간장질환용제,일반의약품,20090511,"연질캡슐제, 현탁상",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148604072451200094,,,Hepapeace Soft Cap.,,2024-12-11 2:55
200903217,메펜연질캡슐(메페남산),한솔신약(주),연한 청색 내용물을 함유한 청색의 장방형 연질캡슐,메펜,,장방형,파랑,,,,20,8,8,해열.진통.소염제,전문의약품,20090511,"연질캡슐제, 현탁상",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400143,,,,,2024-12-11 2:55
200903247,센타민플러스연질캡슐,(주)알피바이오,주황색의 내용물을 포함한 갈색의 장방형 연질캡슐,RPSTM,,장방형,갈색,,,,24.2,7.8,7.8,기타의 비타민제,일반의약품,20090512,"연질캡슐제, 현탁상",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400155,,,,,2024-12-11 2:55
200903378,헤모퀸골드캡슐,경남제약(주),갈색의 분말이 충진된 상·하부 적갈색의 경질캡슐제,KN HQ,,장방형,갈색,갈색,,,18.58,6.69,6.69,무기질제제,일반의약품,20090518,"경질캡슐제, 산제",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6KEQ,,,Hemoqueen Gold Cap.,,2024-12-11 2:55
200903392,제로민연질캡슐(디펜히드라민염산염),한솔신약(주),무색 내지 연한 청록색의 투명한 액상의 내용물을 함유한 연청록색의 볼록한 타원형 연질캡슐,제로민,,타원형,"청록, 투명",,,,13,9,9,최면진정제,일반의약품,20090519,"연질캡슐제, 액상",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400164,,,Jeromin Soft Capsule,,2024-12-11 2:55
200903395,비나코연질캡슐,한솔신약(주),미황 내지 연한 청색의 투명한 액상 내용물이 든 청색의 투명한 장방형의 연질캡슐,비나코,,장방형,"파랑, 투명",,,,25,8,8,해열.진통.소염제,일반의약품,20090519,"연질캡슐제, 액상",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400167,,,,,2024-12-11 2:55
200903409,리피다운캡슐120밀리그램(오르리스타트),한미약품(주),흰색 내지 연한노란색의 펠렛이 든 청록색의 경질캡슐제,Hanmi Lipidown         120,,장방형,파랑,파랑,,,18.5,6.2,6.2,따로 분류되지 않는 대사성 의약품,전문의약품,20090519,"경질캡슐제, 과립제",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706772283900057,,,Lipidown Cap. 120mg,,2024-12-11 2:55
200903482,비오펜연질캡슐(덱시부프로펜),(주)동구바이오제약,무색 내지 연한 녹색의 투명한 액상 내용물을 함유한 녹색의 장방형 연질캡슐,DCD,,타원형,초록,,,,20.5,7.8,7.8,해열.진통.소염제,일반의약품,20090521,"연질캡슐제, 액상",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031002845800195,,,Biofen Soft Capsule,657304630,2024-12-11 2:55
200903579,카이로정,한솔신약(주),흰색의 장방형 필름코팅정,T32,분할선,장방형,하양,,,-,17.3,7.8,5.7,진경제,일반의약품,20090525,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NNuh6mJov1,,,Cairo Tablet,,2024-12-11 2:55
200903580,덴탈에프정(옥수수불검화정량추출물),한솔신약(주),주황색의 원형 당의정,T-32,,원형,주황,,,,11,11,4,치과구강용약,일반의약품,20090525,당의정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661648918900142,,,,,2024-12-11 2:55
200903585,마이에신캡슐(은교산),한솔신약(주),"갈색의 분말이 충진된 상부 갈색, 하부 백색의 경질캡슐제",마이에신 마이에신,,장방형,갈색,하양,,,21,8,8,해열.진통.소염제,일반의약품,20090525,"경질캡슐제, 산제",,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706772284000000,,,,,2024-12-11 2:55
200901403,미카몰정,한솔신약(주),흰색의 장방형 필름코팅정,T23,MT,장방형,하양,,,,17,8,4,골격근이완제,전문의약품,20090220,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800116,,,,,2024-12-11 2:55
